Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Papua New Guinea,13.10241804,6.913914006,12.29043148,5.539337447,-1.992371902,12.18237926,60.51428595,2.795251886,11.66544132,-4.879309968,9.917161123,8.833168224,-0.574719487,3.586935389,5.437392654,-1.231118417
Paraguay,14.66450544,13.93560469,17.94938421,15.14432465,11.83500522,12.95282412,8.855832654,12.63550564,12.22475506,3.647964919,4.655701383,5.095710539,4.798275879,4.337676095,2.857006485,1.60388801
Peru,3.524720039,0.455248303,0.109017024,1.803724665,6.279038577,3.5037224,7.656248079,1.490675955,1.103276292,2.063698334,5.710728594,6.745787125,1.20258494,1.057234351,2.432441085,2.690520901
Philippines,5.816933559,5.618862266,4.231091815,3.192131329,5.890758533,5.910893448,5.111586663,3.164289754,7.179216183,2.738258566,4.370884364,3.918805776,1.994176097,2.061063359,3.053055301,-0.71968279
Poland,6.123321751,3.119861094,1.850183388,0.7760308,4.916646962,2.55918053,1.728423499,3.717078466,3.894351097,3.785557688,1.650906719,3.27057482,2.361494844,0.304917411,0.521868728,0.974028251
Portugal,3.420268727,3.715982819,4.189781687,3.42715373,2.399614666,3.332903228,3.184542659,2.966345493,1.737724288,1.098135864,0.642290869,-0.265123395,-0.38819636,2.248654892,0.704596369,2.019964428
Puerto Rico,3.295071907,5.504911024,2.549778243,4.417472884,-1.29217805,6.590122533,5.492863842,3.782483977,6.56185784,4.982555585,2.494098591,2.369826349,1.179228149,1.182015196,1.200554859,1.977702788
Qatar,0,-4.951940971,3.009005175,17.17646774,13.10678485,30.54269981,8.361613535,10.9698606,22.89956469,-24.21810088,6.979329894,18.27017134,6.329962236,0.767488572,-1.482751063,-25.1298075
Romania,43.18078915,37.95631541,22.71426905,23.15325547,15.45659588,12.00699012,10.60657936,15.81622747,16.01557989,4.086778232,3.593131593,3.769401251,3.770702842,3.395480966,1.796958454,3.25534816
Russian Federation,37.69792821,16.47961936,15.66190631,13.65713681,20.25514958,19.27943213,15.12040663,13.84123924,18.01351833,1.970612603,14.19110957,24.46008606,8.907868421,5.320138872,7.490071117,7.249735907
Rwanda,3.279437528,-0.388163033,-5.230473526,20.37185848,11.09755249,9.026829753,2.46112039,12.93066309,14.4599744,7.146996629,3.185021247,7.192766764,4.720754429,2.692236372,4.732466319,0.486519455
Samoa,2.891975101,2.426771142,2.433947167,2.617630343,7.015164078,0.856083795,9.263285896,-0.137678128,8.602006802,2.437842289,4.911020237,0.447901233,3.643947418,0.917887033,-0.151641501,4.189427029
San Marino,2.567733587,2.703478414,2.386768924,2.451827915,2.010882697,1.667875272,2.012072435,-1.972386588,2.831969792,0.999377268,1.430355746,0.152699198,3.120044604,2.000617175,0.388644529,-0.742700251
Sao Tome and Principe,0,0,12.58589026,15.67497874,14.51382351,18.55974123,13.06583994,10.0142982,26.4974242,7.570212428,12.47832429,7.778965257,13.60900151,10.72057334,8.199430594,5.006138669
